observation_id,timestamp,time_index,asset,regime,case_type,schema_variant,open,high,low,close,volume,log_return_1,rolling_vol_20,momentum_20,drawdown_60,stress_score,volume_zscore,target_return_1,target_regime,quality_flags,valid_for_training
2020-01-02-SPY-00000,2020-01-02T00:00:00Z,0,SPY,NORMAL,sparse_history,v1,100.0000000000,100.6241684694,99.8962862748,100.5199155204,955801.3251201510,0.0051856863,,,0.0000000000,0.0000000000,0.0000000000,0.0079140899,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-QQQ-00001,2020-01-02T00:00:00Z,0,QQQ,NORMAL,sparse_history,v1,102.5000000000,102.5400530588,102.2599553395,102.2999302187,988522.7181637028,-0.0019538077,,,0.0000000000,0.0000000000,0.0000000000,-0.0018767604,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-TLT-00002,2020-01-02T00:00:00Z,0,TLT,NORMAL,sparse_history,v1,105.0000000000,105.2272488963,103.6450782582,103.8698812666,998585.7534795122,-0.0108213760,,,0.0000000000,0.0000000000,0.0000000000,0.0024647478,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-GLD-00003,2020-01-02T00:00:00Z,0,GLD,NORMAL,sparse_history,v1,107.5000000000,109.2997591556,107.2024549144,108.9980676266,1011140.2860377319,0.0138393063,,,0.0000000000,0.0000000000,0.0000000000,0.0095793208,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-IWM-00004,2020-01-02T00:00:00Z,0,IWM,NORMAL,sparse_history,v1,110.0000000000,110.6614941842,109.8900719936,110.5510155229,979457.0522995822,0.0049967276,,,0.0000000000,0.0000000000,0.0000000000,-0.0044132628,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-EEM-00005,2020-01-02T00:00:00Z,0,EEM,NORMAL,sparse_history,v1,112.5000000000,113.9666065306,112.2571015093,113.7210716270,870931.3284806114,0.0107954885,,,0.0000000000,0.0000000000,0.0000000000,-0.0092505464,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-HYG-00006,2020-01-02T00:00:00Z,0,HYG,NORMAL,sparse_history,v1,115.0000000000,115.0251140973,114.8494113549,114.8744980447,1038210.4444961151,-0.0010919173,,,0.0000000000,0.0000000000,0.0000000000,0.0103077153,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-LQD-00007,2020-01-02T00:00:00Z,0,LQD,NORMAL,sparse_history,v1,117.5000000000,117.5231587339,117.3611274450,117.3842633678,976422.8937531245,-0.0009854780,,,0.0000000000,0.0000000000,0.0000000000,-0.0049007542,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-VNQ-00008,2020-01-02T00:00:00Z,0,VNQ,NORMAL,sparse_history,v1,120.0000000000,120.2601692717,119.9566840898,120.2167751131,1164893.3267075615,0.0018048296,,,0.0000000000,0.0000000000,0.0000000000,-0.0105318944,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-DBC-00009,2020-01-02T00:00:00Z,0,DBC,NORMAL,sparse_history,v1,122.5000000000,123.7547793034,122.2919045016,123.5449087779,1148521.0918666190,0.0084936938,,,0.0000000000,0.0000000000,0.0000000000,-0.0021726286,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-XLK-00010,2020-01-02T00:00:00Z,0,XLK,NORMAL,sparse_history,v1,125.0000000000,125.0137956295,124.9172528623,124.9310408811,968635.5734382704,-0.0005518252,,,0.0000000000,0.0000000000,0.0000000000,0.0049243979,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-XLF-00011,2020-01-02T00:00:00Z,0,XLF,NORMAL,sparse_history,v1,127.5000000000,127.5113095439,127.4321602895,127.4434648185,1127882.8735970529,-0.0004435115,,,0.0000000000,0.0000000000,0.0000000000,0.0036088289,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-XLE-00012,2020-01-02T00:00:00Z,0,XLE,NORMAL,sparse_history,v1,130.0000000000,131.4183121410,129.7648594331,131.1810353485,1032470.6133194140,0.0090438680,,,0.0000000000,0.0000000000,0.0000000000,-0.0073054291,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-XLP-00013,2020-01-02T00:00:00Z,0,XLP,NORMAL,sparse_history,v1,132.5000000000,132.9209971607,132.4299419560,132.8507536593,1054712.6741722105,0.0026436998,,,0.0000000000,0.0000000000,0.0000000000,0.0050845621,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-XLU-00014,2020-01-02T00:00:00Z,0,XLU,NORMAL,sparse_history,v1,135.0000000000,136.2117202416,134.7989226430,136.0091398093,897296.2133122955,0.0074473095,,,0.0000000000,0.0000000000,0.0000000000,0.0046823681,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-XLI-00015,2020-01-02T00:00:00Z,0,XLI,NORMAL,sparse_history,v1,137.5000000000,137.9651714381,137.4225986445,137.8875519223,993533.4414240370,0.0028145947,,,0.0000000000,0.0000000000,0.0000000000,-0.0109743694,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-XLC-00016,2020-01-02T00:00:00Z,0,XLC,NORMAL,sparse_history,v1,140.0000000000,140.0460014149,139.9923343219,140.0383336378,833443.0160486926,0.0002737742,,,0.0000000000,0.0000000000,0.0000000000,0.0008574669,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-XLB-00017,2020-01-02T00:00:00Z,0,XLB,NORMAL,sparse_history,v1,142.5000000000,143.1002552449,138.9423637500,139.5301088705,928734.4991669664,-0.0210615875,,,0.0000000000,0.0000000000,0.0000000000,-0.0004532839,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-02-XLY-00018,2020-01-02T00:00:00Z,0,XLY,NORMAL,sparse_history,v1,145.0000000000,147.0649020817,144.6582100732,146.7190600349,792131.4286005204,0.0117858595,,,0.0000000000,0.0000000000,0.0000000000,0.0028093078,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
