Date,regime,portfolio_beta_to_spy,rolling_beta_20,rolling_beta_60
2024-09-13,normal,0.2698308769767395,,
2024-09-16,normal,0.2698308769767395,,
2024-09-17,normal,0.2698308769767395,,
2024-09-18,normal,0.2698308769767395,,
2024-09-19,normal,0.2698308769767395,,
2024-09-20,bull,0.2357962538487114,,
2024-09-23,normal,0.2698308769767395,,
2024-09-24,bull,0.2357962538487114,,
2024-09-25,normal,0.2698308769767395,,
2024-09-26,bull,0.2357962538487114,,
2024-09-27,normal,0.2698308769767395,,
2024-09-30,bull,0.2357962538487114,,
2024-10-01,normal,0.2698308769767395,,
2024-10-02,bull,0.2357962538487114,,
2024-10-03,normal,0.2698308769767395,,
2024-10-04,bull,0.2357962538487114,,
2024-10-07,normal,0.2698308769767395,,
2024-10-08,bull,0.2357962538487114,,
2024-10-09,bull,0.2357962538487114,,
2024-10-10,normal,0.2698308769767395,0.2562170277255283,
2024-10-11,bull,0.2357962538487114,0.25451529656912686,
2024-10-14,bull,0.2357962538487114,0.2528135654127254,
2024-10-15,normal,0.2698308769767395,0.2528135654127254,
2024-10-16,bull,0.2357962538487114,0.25111183425632405,
2024-10-17,bull,0.2357962538487114,0.24941010309992265,
2024-10-18,bull,0.2357962538487114,0.24941010309992265,
2024-10-21,normal,0.2698308769767395,0.24941010309992265,
2024-10-22,bull,0.2357962538487114,0.24941010309992265,
2024-10-23,normal,0.2698308769767395,0.24941010309992265,
2024-10-24,normal,0.2698308769767395,0.251111834256324,
2024-10-25,normal,0.2698308769767395,0.25111183425632405,
2024-10-28,normal,0.2698308769767395,0.2528135654127254,
2024-10-29,bull,0.2357962538487114,0.251111834256324,
2024-10-30,normal,0.2698308769767395,0.2528135654127255,
2024-10-31,normal,0.2698308769767395,0.2528135654127254,
2024-11-01,normal,0.2698308769767395,0.25451529656912686,
2024-11-04,normal,0.2698308769767395,0.2545152965691269,
2024-11-05,normal,0.2698308769767395,0.2562170277255283,
2024-11-06,bull,0.2357962538487114,0.2562170277255283,
2024-11-07,bull,0.2357962538487114,0.25451529656912686,
2024-11-08,bull,0.2357962538487114,0.25451529656912686,
2024-11-11,normal,0.2698308769767395,0.2562170277255283,
2024-11-12,bull,0.2357962538487114,0.25451529656912686,
2024-11-13,bull,0.2357962538487114,0.25451529656912686,
2024-11-14,normal,0.2698308769767395,0.2562170277255283,
2024-11-15,normal,0.2698308769767395,0.25791875888192967,
2024-11-18,normal,0.2698308769767395,0.2579187588819297,
2024-11-19,normal,0.2698308769767395,0.2596204900383311,
2024-11-20,normal,0.2698308769767395,0.2596204900383311,
2024-11-21,bull,0.2357962538487114,0.2579187588819297,
2024-11-22,bull,0.2357962538487114,0.2562170277255283,
2024-11-25,bull,0.2357962538487114,0.25451529656912686,
2024-11-26,bull,0.2357962538487114,0.25451529656912686,
2024-11-27,normal,0.2698308769767395,0.25451529656912686,
2024-11-29,bull,0.2357962538487114,0.2528135654127255,
2024-12-02,bull,0.2357962538487114,0.25111183425632405,
2024-12-03,bull,0.2357962538487114,0.24941010309992268,
2024-12-04,normal,0.2698308769767395,0.24941010309992265,
2024-12-05,normal,0.2698308769767395,0.25111183425632405,
2024-12-06,bull,0.2357962538487114,0.25111183425632405,0.2539480528503264
2024-12-09,normal,0.2698308769767395,0.2528135654127254,0.2539480528503264
2024-12-10,normal,0.2698308769767395,0.2528135654127255,0.2539480528503264
2024-12-11,normal,0.2698308769767395,0.25451529656912686,0.2539480528503264
2024-12-12,normal,0.2698308769767395,0.2562170277255283,0.2539480528503264
2024-12-13,normal,0.2698308769767395,0.25621702772552823,0.2539480528503264
2024-12-16,normal,0.2698308769767395,0.2562170277255283,0.25451529656912686
2024-12-17,normal,0.2698308769767395,0.25621702772552823,0.25451529656912686
2024-12-18,normal,0.2698308769767395,0.2562170277255283,0.2550825402879273
2024-12-19,normal,0.2698308769767395,0.2562170277255283,0.2550825402879273
2024-12-20,normal,0.2698308769767395,0.25791875888192967,0.2556497840067278
2024-12-23,normal,0.2698308769767395,0.2596204900383311,0.2556497840067278
2024-12-24,normal,0.2698308769767395,0.2613222211947325,0.2562170277255283
2024-12-26,normal,0.2698308769767395,0.2630239523511339,0.2562170277255283
2024-12-27,normal,0.2698308769767395,0.26302395235113385,0.25678427144432875
2024-12-30,normal,0.2698308769767395,0.2647256835075353,0.2567842714443287
2024-12-31,normal,0.2698308769767395,0.2664274146639367,0.2573515151631292
2025-01-02,crisis,0.21695230318970155,0.26548521713098616,0.25647020560001194
2025-01-03,normal,0.2698308769767395,0.2654852171309862,0.2570374493188124
2025-01-06,normal,0.2698308769767395,0.26548521713098616,0.25760469303761285
2025-01-07,crisis,0.21695230318970155,0.2645430195980357,0.2567233834744955
2025-01-08,normal,0.2698308769767395,0.2645430195980357,0.257290627193296
2025-01-10,crisis,0.21695230318970155,0.2618990909086838,0.25697656134897917
2025-01-13,normal,0.2698308769767395,0.26189909090868385,0.25697656134897917
2025-01-14,normal,0.2698308769767395,0.2618990909086838,0.2575438050677797
2025-01-15,normal,0.2698308769767395,0.26189909090868385,0.25811104878658014
2025-01-16,crisis,0.21695230318970155,0.2592551622193319,0.2577969829422633
2025-01-17,normal,0.2698308769767395,0.2592551622193319,0.2577969829422633
2025-01-21,bull,0.2357962538487114,0.2575534310629305,0.2577969829422633
2025-01-22,normal,0.2698308769767395,0.2575534310629305,0.2577969829422633
2025-01-23,bull,0.2357962538487114,0.2558516999065291,0.2572297392234628
2025-01-24,bull,0.2357962538487114,0.2541499687501277,0.25666249550466236
2025-01-27,normal,0.2698308769767395,0.25414996875012774,0.25666249550466236
2025-01-28,normal,0.2698308769767395,0.25414996875012774,0.2572297392234628
2025-01-29,normal,0.2698308769767395,0.25414996875012774,0.2572297392234628
2025-01-30,bull,0.2357962538487114,0.2524482375937263,0.25666249550466236
2025-01-31,normal,0.2698308769767395,0.25244823759372625,0.25666249550466236
2025-02-03,normal,0.2698308769767395,0.2550921662830782,0.25666249550466236
2025-02-04,normal,0.2698308769767395,0.2550921662830782,0.25666249550466236
2025-02-05,normal,0.2698308769767395,0.2550921662830782,0.2572297392234628
2025-02-06,bull,0.2357962538487114,0.2560343638160287,0.2572297392234628
2025-02-07,normal,0.2698308769767395,0.2560343638160287,0.2577969829422633
2025-02-10,bull,0.2357962538487114,0.25697656134897917,0.2572297392234628
2025-02-11,normal,0.2698308769767395,0.25697656134897917,0.2577969829422633
2025-02-12,bull,0.2357962538487114,0.2552748301925778,0.2577969829422633
2025-02-13,bull,0.2357962538487114,0.25357309903617636,0.2572297392234628
2025-02-14,bull,0.2357962538487114,0.25451529656912686,0.25666249550466236
2025-02-18,normal,0.2698308769767395,0.25451529656912686,0.25666249550466236
2025-02-19,normal,0.2698308769767395,0.2562170277255283,0.25666249550466236
2025-02-20,normal,0.2698308769767395,0.25621702772552823,0.25666249550466236
2025-02-21,normal,0.2698308769767395,0.2579187588819297,0.2572297392234628
2025-02-24,normal,0.2698308769767395,0.2596204900383311,0.2577969829422633
2025-02-25,normal,0.2698308769767395,0.2596204900383311,0.25836422666106373
