Date,Close,High,Low,Open,Volume,daily_return,log_return,volatility_7d,volatility_21d,volatility_63d,momentum_7d,momentum_21d,momentum_63d,rolling_max,drawdown
2024-07-20,67163.6484375,67610.734375,66299.6171875,66709.921875,19029581250,0.0067979482134701286,0.006774946348331885,0.028675966565799654,0.027963941227903546,0.022755645761082625,0.13390906249134438,0.10307997558761306,0.0033289673023846333,71448.1953125,-0.05996718120395139
2024-07-21,68154.5234375,68372.90625,65842.296875,67164.9140625,26652190004,0.014753144342986024,0.014645375370143716,0.028482944822644258,0.027504622924110274,0.022789304601646913,0.12118766135393533,0.08737044691820706,0.02830721892548138,71448.1953125,-0.04609874134110936
2024-07-22,67585.25,68480.0625,66611.296875,68152.9765625,42649109453,-0.00835268752223095,-0.008387766690112852,0.018937833425352584,0.027643430861245787,0.020551757398462094,0.0418543437644876,0.07530820025000451,-0.05406638048174983,71448.1953125,-0.05406638048174983
2024-07-23,65927.671875,67779.015625,65484.4609375,67584.8046875,35605668666,-0.02452573786440093,-0.024831503546284737,0.022236073890494857,0.02810205213434511,0.020651797183274506,0.012758215335613166,0.0628521379989253,-0.06000951715159142,71448.1953125,-0.07726610047117832
2024-07-24,65372.1328125,67113.984375,65146.99609375,65927.859375,27470942309,-0.008426492953570563,-0.008462196557576013,0.02152075321322158,0.027210420222405537,0.020601223207370848,0.019547152803716106,0.08638644076246682,-0.05425457739725281,71448.1953125,-0.08504151117357872
2024-07-25,65777.2265625,66112.421875,63473.47265625,65375.875,38315761670,0.00619673448871394,0.006177613679945953,0.02141577936564588,0.023819154672898735,0.02050848688176637,0.02818579867659987,0.15443801618670472,-0.031684819661542796,71448.1953125,-0.0793717563501265
2024-07-26,67912.0625,68207.6015625,65743.765625,65771.8125,30488630457,0.032455548053117234,0.03193999219319689,0.0184702138995458,0.02424809311625715,0.020890973713179835,0.01801684057665498,0.19853893346334317,-0.008960659493229106,71448.1953125,-0.04949226214929103
2024-07-27,67813.3359375,69398.5078125,66705.21875,67911.8125,34691905492,-0.0014537411892032726,-0.001454798896138238,0.018428340312468938,0.023898002016631052,0.02084650149639458,0.009673201428367584,0.16310839835649982,-0.020971479829610562,71448.1953125,-0.050874054398461155
2024-07-28,68255.8671875,68301.8515625,67085.828125,67808.65625,18043166945,0.006525726007755361,0.006504525639670648,0.017691379222346745,0.021037791350172457,0.020817665074094327,0.0014869702682747121,0.22214781849419607,-0.0038271140971430917,71448.1953125,-0.044680318530613716
2024-07-29,66819.9140625,69987.5390625,66532.59375,68259.0546875,40780682628,-0.021037797689324123,-0.021262245664086656,0.019306786338523892,0.022033590299981615,0.0209224153182316,-0.011324008382006423,0.1783757867337903,-0.03710147916640161,71448.1953125,-0.06477814071799615
2024-07-30,66201.015625,66987.671875,65323.19140625,66819.0546875,31380492109,-0.009262185475442442,-0.009305346230673276,0.016991542514441477,0.02206555875353441,0.020860517761473307,0.004146115617706947,0.14121527811914625,-0.030678171695998957,71448.1953125,-0.07344033903935421
2024-07-31,64619.25,66810.2109375,64532.046875,66201.2734375,31292785994,-0.023893373992326827,-0.024183450577486682,0.01923570251459194,0.022936943086490722,0.021033756457218507,-0.011516876994963843,0.11909346445787494,-0.04378406648974176,71448.1953125,-0.09557897554489059
2024-08-01,65357.5,65593.2421875,62248.94140625,64625.83984375,40975554494,0.011424614182306447,0.011359846111043197,0.019680484741488292,0.022785386152392822,0.021031730077254812,-0.006381031618917343,0.1397261826701337,-0.0439916994249272,71448.1953125,-0.0852463142821247
2024-08-02,61415.06640625,65523.22265625,61184.89453125,65353.5,43060875727,-0.06032105869640059,-0.06221701386487153,0.024292048801188258,0.027022042766274842,0.022294559979860754,-0.0956677776315511,0.06071906833659613,-0.09003141719068197,71448.1953125,-0.14042522505106136
2024-08-03,60680.09375,62148.37109375,59836.52734375,61414.80859375,31753030589,-0.011967302150066583,-0.012039486792085179,0.023704784437651526,0.02681418307110986,0.02232760848345976,-0.10518937151350782,0.02444863875995984,-0.10378321645400079,71448.1953125,-0.15071201610345086
