asset,horizon_days,pearson_ic,rank_ic,top_bottom_spread,signal_persistence,observations
BTC-USD,1,0.03293029291303026,0.02077513891169613,0.0033788973688861365,0.10240621079121336,437
DIA,1,-0.055449651199537445,-0.04614505484139722,-0.0010899909927443753,0.1892291822672639,437
ETH-USD,1,0.02043330080587587,-0.013447710505753321,0.0035493697885133676,0.08196571415184664,437
GLD,1,-0.006764681052323402,0.05779477161136992,0.0013244817513834734,0.0026432947480023077,437
QQQ,1,-0.04912224302268995,-0.06660844947772768,-0.0024430107000200105,0.19247520983433683,437
SPY,1,-0.0666846846485986,-0.07112227076370733,-0.00127763383470662,0.22355085602336283,437
TLT,1,0.011195476638420269,0.013939628017757921,-0.00025121328159576447,-0.06737375582261845,437
VIX,1,-0.10190417551040312,-0.17923470300587005,-0.027197286462476416,-0.21058192969851827,437
BTC-USD,5,0.1236075434276148,0.07079045206699233,0.016687615967915626,0.10028128381387601,433
DIA,5,-0.10037401637600124,-0.08810392964456884,-0.00480906689764129,0.1881526644548042,433
ETH-USD,5,0.09573511512475551,0.08050887543176896,0.026466378047427047,0.08271683674456576,433
GLD,5,-0.05084865858366206,0.001956042045813334,-0.002846918026254942,0.006661449550212496,433
QQQ,5,-0.0938942202026862,-0.11594512025674955,-0.010168207706310434,0.18991826287885014,433
SPY,5,-0.12289990364822638,-0.10505762438080102,-0.008247502563034984,0.2211827481687539,433
TLT,5,-0.015081975206858339,-0.014019557759779765,-0.0012910559630006447,-0.0642316055457227,433
VIX,5,-0.2268756941974392,-0.2483917677428815,-0.12660307293552048,-0.20859338289480037,433
BTC-USD,10,0.18556901535567769,0.1154829543063035,0.04225486748103675,0.0949764165864547,428
DIA,10,-0.15249334587124008,-0.20065915393018197,-0.011754614975434832,0.18833774662706898,428
ETH-USD,10,0.18346962270356876,0.1722663731243477,0.07820265826792623,0.08220151490956296,428
GLD,10,0.0037821336781473226,0.059219162942159724,0.0030245482714638117,0.014657584202145118,428
QQQ,10,-0.13678991979214877,-0.16060498410735888,-0.017200760460267712,0.18688220876999523,428
SPY,10,-0.1384406980425893,-0.14232879117205763,-0.012062818577741618,0.21776293300635668,428
TLT,10,-0.12163867742444884,-0.13430877380624587,-0.009218247693153787,-0.06043123258909894,428
VIX,10,-0.25607219109783075,-0.25745879675709615,-0.1966102533777941,-0.20573826862768987,428
BTC-USD,20,0.17048679447379647,0.11766214119864422,0.06747748147977677,0.0868702463489176,418
DIA,20,-0.2213728312430075,-0.27503380812724293,-0.022232735449703025,0.18407053854298672,418
ETH-USD,20,0.20915926491623463,0.22002923177895772,0.12047730371356756,0.07781384407396327,418
GLD,20,0.1181442937855962,0.18477939668112264,0.026692889575664618,0.031834994910925715,418
QQQ,20,-0.16043422863972273,-0.10114407474830907,-0.019647529751524576,0.1785335913306737,418
SPY,20,-0.15657928913765848,-0.10579838649321262,-0.016528471585755898,0.2110827984733477,418
TLT,20,-0.23792991107624226,-0.299109976044926,-0.01981493234354043,-0.05516493295449316,418
VIX,20,-0.18689269954328416,-0.18141669875436736,-0.21087693795468604,-0.19958304028641347,418
