asset,weight,regime
BTC-USD,0.016053968660694848,bull
DIA,0.16331105037755905,bull
ETH-USD,7.000727309056792e-19,bull
GLD,0.05842875903074658,bull
QQQ,6.660982393913092e-17,bull
SPY,0.5395233194133365,bull
TLT,0.13846212117498352,bull
VIX,0.08422078134267952,bull
BTC-USD,0.017289655428406756,crisis
DIA,0.5189701047446106,crisis
ETH-USD,6.5187655620690954e-18,crisis
GLD,0.07611923107163342,crisis
QQQ,0.2779891027746677,crisis
SPY,0.0,crisis
TLT,0.014499457480945386,crisis
VIX,0.09513244849973597,crisis
BTC-USD,0.0,high_volatility
DIA,0.0,high_volatility
ETH-USD,0.03551737581803598,high_volatility
GLD,0.04026211725194912,high_volatility
QQQ,0.0,high_volatility
SPY,0.1985085772454886,high_volatility
TLT,0.6493464182254347,high_volatility
VIX,0.07636551145909147,high_volatility
BTC-USD,0.0,normal
DIA,0.07449423192332731,normal
ETH-USD,0.0,normal
GLD,0.016203514592611493,normal
QQQ,0.0,normal
SPY,0.6073637760376263,normal
TLT,0.25128829076256254,normal
VIX,0.05065018668387247,normal
