Date,state_0_filtered_probability,state_1_filtered_probability,state_2_filtered_probability
2024-08-03,0.0,0.0,1.0
2024-08-04,1.0880159068581758e-127,1.3256749046413158e-32,1.0
2024-08-05,8.98655951108352e-112,1.2977397264287565e-133,1.0
2024-08-06,2.6182742538482775e-105,2.1473971495041793e-45,1.0
2024-08-07,2.633070144693088e-103,3.5189221458769053e-43,1.0
2024-08-08,1.3239839814991549e-78,4.2394274851656395e-30,1.0
2024-08-09,2.784571115963927e-79,5.4191416628961005e-24,1.0
2024-08-10,4.5845706276397076e-79,1.4408449130863208e-23,1.0
2024-08-11,2.1927804880934545e-82,2.0141311604533645e-24,1.0
2024-08-12,1.0767647978447032e-79,1.6686472073654277e-24,1.0
2024-08-13,1.7282212586742005e-88,1.8876439511120706e-18,1.0
2024-08-14,5.426656762422902e-89,2.793548923858588e-17,1.0
2024-08-15,2.454057495745088e-83,1.1364262205654276e-16,1.0
2024-08-16,6.250744218166115e-82,5.882915238761299e-17,1.0
2024-08-17,4.140995820193347e-82,1.0672142274502297e-16,1.0
2024-08-18,3.3677040866279923e-81,4.873217907350494e-16,1.0
2024-08-19,2.818738261421367e-82,1.7034594845220436e-14,1.0
2024-08-20,8.088517879314057e-91,9.709277294771982e-14,1.0
2024-08-21,1.0999820883529092e-94,2.3969115555374785e-09,0.999999997602572
2024-08-22,4.919148307351824e-90,0.011461359705328163,0.9885386402952319
2024-08-23,7.263782851540021e-90,0.19242597647343299,0.8075740235258608
2024-08-24,4.649501245869529e-98,0.899508698042302,0.10049130195851952
2024-08-25,3.315913510379712e-121,0.9999999996471161,3.536753593529045e-10
2024-08-26,1.2219929771421774e-130,0.9999999998562998,1.4454093934350244e-10
2024-08-27,1.1008394677292777e-134,0.9999999997125997,2.8821676554507085e-10
2024-08-28,3.667141725908302e-169,0.9999999998854037,1.1472074268205486e-10
2024-08-29,2.687135176662892e-170,0.9999999999890861,1.1343788165531183e-11
2024-08-30,2.454879562612894e-170,0.999999999998181,1.135379485838415e-12
2024-08-31,1.1271406735948474e-173,1.0,1.419517179280885e-13
2024-09-01,1.0332076195013211e-173,0.999999999998181,2.0103082090458997e-12
2024-09-02,6.750594814938685e-172,0.9999999952997314,4.699443252689716e-09
2024-09-03,1.5026905833894224e-148,1.1488420756166912e-06,0.9999988511578755
2024-09-04,1.0896629110487644e-155,2.480679160583859e-12,0.999999999998181
2024-09-05,7.341589066369095e-157,4.889774336612856e-09,0.9999999951105565
2024-09-06,1.8356248856891844e-143,1.1923233863737443e-19,1.0
2024-09-07,1.9381336827702032e-142,3.849661740256827e-18,1.0
2024-09-08,5.362321510405885e-146,1.914521465705126e-17,1.0
2024-09-09,1.9333441011541697e-136,6.550346953569154e-09,0.9999999934498192
2024-09-10,5.49462633341993e-137,7.294735077154314e-07,0.9999992705273076
2024-09-11,7.817155432291299e-134,0.01008371864293346,0.9899162813562488
2024-09-12,4.284215233305645e-143,0.2858393742397532,0.7141606257605528
2024-09-13,3.408018725073636e-136,0.6387608960843139,0.3612391039159631
2024-09-14,2.8751612739122734e-137,0.846397704507693,0.1536022954918686
2024-09-15,9.288925642945255e-140,0.9869596992337348,0.013040300765953155
2024-09-16,1.886077805116398e-153,0.9981364474703328,0.0018635525290091293
2024-09-17,8.70808824367861e-154,0.9999945878281353,5.412172538072037e-06
2024-09-18,9.860785985900871e-155,0.9999970599153605,2.9400845009204175e-06
2024-09-19,2.0710281971714225e-144,0.9999993409512524,6.590491784126817e-07
2024-09-20,2.165328215470867e-142,0.9999994119354506,5.880648453918628e-07
2024-09-21,2.0777176332402847e-145,0.999999768568186,2.314316481944414e-07
2024-09-22,6.99152712648475e-154,0.9999997202158221,2.797837337740913e-07
2024-09-23,4.359829069195157e-174,0.999999999998181,1.849930864588752e-12
2024-09-24,4.219473187274467e-178,1.0,5.908122990162582e-13
2024-09-25,8.453998319607903e-185,1.0,6.277484495652263e-14
2024-09-26,1.1159450038602835e-215,1.0,1.898464151181838e-17
2024-09-27,3.766252515717187e-219,1.0,3.219218034069213e-17
2024-09-28,1.0180999544148099e-217,1.0,5.1761017934077625e-17
2024-09-29,4.334664340033514e-225,1.0,4.73258978822554e-16
2024-09-30,1.0847934816707635e-210,1.0,8.206317338222746e-16
2024-10-01,7.412472228657583e-200,0.9999999993870006,6.136094410277148e-10
2024-10-02,4.6591919203927866e-194,0.9999999996980478,3.0131283202242574e-10
2024-10-03,1.4743400766491155e-202,0.999999626587011,3.7341386349425616e-07
2024-10-04,1.38725399117399e-196,0.9999999999399733,6.02355238294257e-11
2024-10-05,5.356292150359364e-203,0.9999999999708962,2.850212299600356e-11
2024-10-06,9.568931773375646e-197,0.9999999999781721,2.2233204893777323e-11
2024-10-07,3.373557855676219e-193,0.9969852818797998,0.0030147181196869743
2024-10-08,7.825337995457928e-189,0.9999997286377407,2.7136204464829156e-07
2024-10-09,1.1596162646398963e-212,0.9999999901556293,9.843489660521627e-09
2024-10-10,5.509954463863063e-218,0.9999999940282578,5.971990489855005e-09
2024-10-11,4.4428554710209254e-210,0.9999999997780833,2.2178012411890256e-10
2024-10-12,1.3982940695372662e-210,0.9999999998763087,1.24468750201556e-10
2024-10-13,2.2872366170208452e-213,0.9999999998672138,1.3233700197052295e-10
2024-10-14,1.0848970123325231e-199,0.999999999992724,6.662030038256277e-12
2024-10-15,8.236372682943181e-200,0.9999999996798579,3.194516275851085e-10
2024-10-16,2.7673202820083382e-204,0.9999999999654392,3.369599359982586e-11
2024-10-17,3.4801798323549206e-204,0.999999999998181,1.4468777885298778e-12
2024-10-18,9.077933738661629e-203,1.0,3.847255657602259e-13
2024-10-19,2.3396800852724706e-203,1.0,3.9483623549094784e-13
2024-10-20,2.6253340577561165e-209,1.0,4.06758590520777e-13
