allocation,scenario,asset,shock,contribution
probabilistic_regime,equity_crash,SPY,-0.12,-0.06528160488160427
probabilistic_regime,equity_crash,QQQ,-0.16,-0.0034748637846833443
probabilistic_regime,equity_crash,DIA,-0.1,-0.013003535131270061
probabilistic_regime,equity_crash,TLT,0.04,0.008253821186613892
probabilistic_regime,equity_crash,GLD,0.03,0.0009234291482316869
probabilistic_regime,equity_crash,VIX,0.45,0.027897062180127573
probabilistic_regime,equity_crash,BTC-USD,-0.2,-0.00102268064703892
probabilistic_regime,equity_crash,ETH-USD,-0.25,-1.683395264606667e-19
probabilistic_regime,volatility_spike,SPY,-0.06,-0.032640802440802134
probabilistic_regime,volatility_spike,QQQ,-0.08,-0.0017374318923416721
probabilistic_regime,volatility_spike,DIA,-0.05,-0.0065017675656350304
probabilistic_regime,volatility_spike,TLT,0.02,0.004126910593306946
probabilistic_regime,volatility_spike,GLD,0.02,0.000615619432154458
probabilistic_regime,volatility_spike,VIX,0.35,0.02169771502898811
probabilistic_regime,volatility_spike,BTC-USD,-0.12,-0.000613608388223352
probabilistic_regime,volatility_spike,ETH-USD,-0.15,-1.0100371587640002e-19
probabilistic_regime,rates_shock,SPY,-0.04,-0.021760534960534757
probabilistic_regime,rates_shock,QQQ,-0.06,-0.001303073919256254
probabilistic_regime,rates_shock,DIA,-0.03,-0.003901060539381018
probabilistic_regime,rates_shock,TLT,-0.1,-0.02063455296653473
probabilistic_regime,rates_shock,GLD,-0.02,-0.000615619432154458
probabilistic_regime,rates_shock,VIX,0.12,0.007439216581367352
probabilistic_regime,rates_shock,BTC-USD,-0.08,-0.000409072258815568
probabilistic_regime,rates_shock,ETH-USD,-0.1,-6.733581058426669e-20
probabilistic_regime,crypto_collapse,SPY,-0.02,-0.010880267480267379
probabilistic_regime,crypto_collapse,QQQ,-0.03,-0.000651536959628127
probabilistic_regime,crypto_collapse,DIA,-0.01,-0.0013003535131270061
probabilistic_regime,crypto_collapse,TLT,0.01,0.002063455296653473
probabilistic_regime,crypto_collapse,GLD,0.02,0.000615619432154458
probabilistic_regime,crypto_collapse,VIX,0.08,0.004959477720911569
probabilistic_regime,crypto_collapse,BTC-USD,-0.35,-0.0017896911323181097
probabilistic_regime,crypto_collapse,ETH-USD,-0.45,-3.030111476292001e-19
probabilistic_regime,risk_on_rally,SPY,0.06,0.032640802440802134
probabilistic_regime,risk_on_rally,QQQ,0.09,0.001954610878884381
probabilistic_regime,risk_on_rally,DIA,0.04,0.0052014140525080245
probabilistic_regime,risk_on_rally,TLT,-0.03,-0.0061903658899604185
probabilistic_regime,risk_on_rally,GLD,-0.01,-0.000307809716077229
probabilistic_regime,risk_on_rally,VIX,-0.2,-0.01239869430227892
probabilistic_regime,risk_on_rally,BTC-USD,0.15,0.0007670104852791899
probabilistic_regime,risk_on_rally,ETH-USD,0.2,1.3467162116853338e-19
confidence_adjusted,equity_crash,SPY,-0.12,-0.04105906556125464
confidence_adjusted,equity_crash,QQQ,-0.16,-0.002185526232244128
confidence_adjusted,equity_crash,DIA,-0.1,-0.008178613293150621
confidence_adjusted,equity_crash,TLT,0.04,0.015429816964510897
confidence_adjusted,equity_crash,GLD,0.03,0.00172627228222695
confidence_adjusted,equity_crash,VIX,0.45,0.052151185924048035
confidence_adjusted,equity_crash,BTC-USD,-0.2,-0.0006432181287692201
confidence_adjusted,equity_crash,ETH-USD,-0.25,-1.0587766134172922e-19
confidence_adjusted,volatility_spike,SPY,-0.06,-0.02052953278062732
confidence_adjusted,volatility_spike,QQQ,-0.08,-0.001092763116122064
confidence_adjusted,volatility_spike,DIA,-0.05,-0.004089306646575311
confidence_adjusted,volatility_spike,TLT,0.02,0.007714908482255449
confidence_adjusted,volatility_spike,GLD,0.02,0.0011508481881513
confidence_adjusted,volatility_spike,VIX,0.35,0.0405620334964818
confidence_adjusted,volatility_spike,BTC-USD,-0.12,-0.000385930877261532
confidence_adjusted,volatility_spike,ETH-USD,-0.15,-6.352659680503753e-20
confidence_adjusted,rates_shock,SPY,-0.04,-0.01368635518708488
confidence_adjusted,rates_shock,QQQ,-0.06,-0.000819572337091548
confidence_adjusted,rates_shock,DIA,-0.03,-0.002453583987945186
confidence_adjusted,rates_shock,TLT,-0.1,-0.038574542411277245
confidence_adjusted,rates_shock,GLD,-0.02,-0.0011508481881513
confidence_adjusted,rates_shock,VIX,0.12,0.013906982913079475
confidence_adjusted,rates_shock,BTC-USD,-0.08,-0.000257287251507688
confidence_adjusted,rates_shock,ETH-USD,-0.1,-4.235106453669169e-20
confidence_adjusted,crypto_collapse,SPY,-0.02,-0.00684317759354244
confidence_adjusted,crypto_collapse,QQQ,-0.03,-0.000409786168545774
confidence_adjusted,crypto_collapse,DIA,-0.01,-0.000817861329315062
confidence_adjusted,crypto_collapse,TLT,0.01,0.0038574542411277243
confidence_adjusted,crypto_collapse,GLD,0.02,0.0011508481881513
confidence_adjusted,crypto_collapse,VIX,0.08,0.009271321942052983
confidence_adjusted,crypto_collapse,BTC-USD,-0.35,-0.001125631725346135
confidence_adjusted,crypto_collapse,ETH-USD,-0.45,-1.905797904151126e-19
confidence_adjusted,risk_on_rally,SPY,0.06,0.02052953278062732
confidence_adjusted,risk_on_rally,QQQ,0.09,0.001229358505637322
confidence_adjusted,risk_on_rally,DIA,0.04,0.003271445317260248
confidence_adjusted,risk_on_rally,TLT,-0.03,-0.011572362723383172
confidence_adjusted,risk_on_rally,GLD,-0.01,-0.00057542409407565
confidence_adjusted,risk_on_rally,VIX,-0.2,-0.02317830485513246
confidence_adjusted,risk_on_rally,BTC-USD,0.15,0.000482413596576915
confidence_adjusted,risk_on_rally,ETH-USD,0.2,8.470212907338338e-20
