asset_a,asset_b,joint_tail_probability
QQQ,SPY,0.04337899543378995
BTC-USD,ETH-USD,0.03424657534246575
DIA,SPY,0.03424657534246575
DIA,QQQ,0.02968036529680365
ETH-USD,QQQ,0.0182648401826484
ETH-USD,SPY,0.01598173515981735
DIA,ETH-USD,0.0136986301369863
BTC-USD,QQQ,0.0136986301369863
DIA,TLT,0.0136986301369863
SPY,TLT,0.01141552511415525
BTC-USD,SPY,0.01141552511415525
BTC-USD,DIA,0.01141552511415525
ETH-USD,TLT,0.0091324200913242
QQQ,TLT,0.0091324200913242
GLD,TLT,0.00684931506849315
BTC-USD,TLT,0.00684931506849315
GLD,VIX,0.0045662100456621
DIA,GLD,0.0045662100456621
BTC-USD,GLD,0.0045662100456621
GLD,QQQ,0.0045662100456621
GLD,SPY,0.0045662100456621
TLT,VIX,0.0045662100456621
ETH-USD,GLD,0.00228310502283105
BTC-USD,VIX,0.0
ETH-USD,VIX,0.0
DIA,VIX,0.0
QQQ,VIX,0.0
SPY,VIX,0.0
