asset,momentum_5d,momentum_20d,momentum_60d,realized_vol,trend_strength,vol_adjusted_momentum,momentum_5d_zscore,momentum_20d_zscore,momentum_60d_zscore,vol_adjusted_momentum_zscore,trend_strength_zscore,composite_alpha_score,alpha_rank,Date,calibrated_state_0_probability,calibrated_state_1_probability,calibrated_state_2_probability,calibrated_most_likely_state,regime_adjusted_alpha,allocation_preference_rank,alpha_dispersion
BTC-USD,-0.09188608513858787,-0.0017717244448299807,-0.14011598337325137,0.4268207991630448,0.02734966916137105,-0.004150979634319988,-0.7006239061863815,-0.26800346158710847,-0.6810074761805315,-0.02101530537486778,-0.061814882503932515,-0.36711186427488196,0.5,2024-08-03,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.32763694259162973,0.5,0.8561750542390169
DIA,-0.020665600086667735,-0.0074951540763360525,0.02760499955951201,0.13950611512359537,0.02198678816586952,-0.053726347907371116,-0.2709439736625439,-0.2856523411860636,-0.13139398897309698,-0.17267534069562548,-0.13586980071592097,-0.21428534309366443,0.625,2024-08-03,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.19124360034530835,0.625,0.8561750542390169
ETH-USD,-0.12562825671687572,-0.10502005305940476,-0.23845936860534322,0.49476262104242746,-0.01454234642919583,-0.21226351505320964,-0.9041936234720346,-0.5863820279070509,-1.0032739568322828,-0.6576692642215709,-0.6402930905598345,-0.7529712863332764,0.125,2024-08-03,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.6720055495912794,0.125,0.8561750542390169
GLD,0.022784989319125204,0.009995050519647553,0.046778426467091405,0.14619072343104025,0.019888610831711784,0.0683699367857792,-0.008802452014781257,-0.23171920407254265,-0.06856360341176225,0.2008393197927821,-0.16484309902435532,-0.06130541825095061,0.75,2024-08-03,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.05471334967535356,0.75,0.8561750542390169
QQQ,-0.032657976580499515,-0.0931046849535817,-0.0107990347290704,0.24383581222140907,-0.016099500994392724,-0.38183351372947755,-0.34329511700162135,-0.5496395656743905,-0.25724213772049176,-1.1764146187076863,-0.6617955169731389,-0.586461796085591,0.25,2024-08-03,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.5234005449423598,0.25,0.8561750542390169
SPY,-0.02177087591088067,-0.04837571859299161,0.011789087329289849,0.15607831839901645,0.0020242756143107332,-0.30994515502991515,-0.27761220740486997,-0.41171244981745314,-0.18322196256483209,-0.956495102235763,-0.41152802165192903,-0.44813239155152185,0.375,2024-08-03,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.39994546875847603,0.375,0.8561750542390169
TLT,0.054739865435855295,0.04968726799514056,0.06745757080142245,0.15240571545541323,0.007468744608740918,0.32601971551176323,0.18398434245361722,-0.10932350562902386,-0.0007990552239317264,0.9890366827805861,-0.3363464715805334,0.16801269515529385,0.875,2024-08-03,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.14994657245956614,0.875,0.8561750542390169
VIX,0.4090360754303515,0.8772070078682725,0.7773555973291324,1.488611424356074,0.20653300616739978,0.5892787019606036,2.3214869372886153,2.442432555873633,2.3255021809069287,1.7943936286621454,2.4124908830096445,2.262255404434592,1.0,2024-08-03,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,2.0189988834448407,1.0,0.8561750542390169
BTC-USD,-0.12211352025613276,-0.10410297397583723,-0.18240474552076746,0.3725829850794282,0.025534859183495406,-0.2794088247310711,-0.8379059213693233,-0.4789418226561977,-0.6932309815304821,-0.5363222798214122,-0.08818371310970945,-0.5659927546520739,0.25,2024-08-04,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.5051325051275599,0.25,0.855067254669257
DIA,-0.025232468669777797,-0.012527289211808013,0.024907311142859934,0.13803775001141147,0.020934312705917613,-0.09075263260066462,-0.18752725552244606,-0.18431860085402924,-0.09211196730640976,-0.04272830118415538,-0.14515392023761534,-0.13428447708257255,0.625,2024-08-04,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.11984509298208511,0.625,0.855067254669257
ETH-USD,-0.18064312964153406,-0.23015952751824498,-0.304809138076902,0.45573513484598344,-0.020750523231421236,-0.5050291494335363,-1.2308249560134266,-0.8844991278474327,-1.0481529719549272,-1.1266280231618686,-0.661352104304937,-1.012606139010768,0.125,2024-08-04,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.9037223029833376,0.125,0.855067254669257
GLD,0.012672982254561038,0.006746166709035384,0.03452386723354861,0.14585169242553328,0.019649571958897605,0.04625360595304534,0.06693836181781786,-0.12231079066628135,-0.06422794159899661,0.31573040415802334,-0.16106332291838693,0.010888595383645817,0.75,2024-08-04,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.009717763024797835,0.75,0.855067254669257
QQQ,-0.019190131374355324,-0.09553565973907152,-0.030347010583301248,0.2429316911152888,-0.020579692725701038,-0.3932614114711484,-0.146964036973039,-0.4513785046298937,-0.25232659226448234,-0.8342025170538728,-0.6592366492514824,-0.4480358455723952,0.375,2024-08-04,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.3998593042061997,0.375,0.855067254669257
SPY,-0.01678947559046884,-0.05098551689695352,-9.483266069576501e-05,0.15517040542331803,-0.0005939042008733519,-0.3285775838366904,-0.13084803409821488,-0.30804890081952396,-0.16460781862617896,-0.664965835898403,-0.4117455050095416,-0.3256735584713707,0.5,2024-08-04,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.29065442815708237,0.5,0.855067254669257
TLT,0.05069409600561858,0.06189586697376037,0.05968158806914747,0.14364243952957348,0.00955134422389703,0.4309023654601542,0.32218044301450827,0.055120395519066355,0.008719018612569624,1.3221130170953206,-0.2861132769818102,0.31852728670201863,0.875,2024-08-04,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.2842765829788447,0.875,0.855067254669257
VIX,0.3222158667896544,0.7827743592736871,0.851939760705523,1.492415036474829,0.22750208873621958,0.5245017908172821,2.144951399144124,2.374377351954292,2.3059392546689073,1.5670035358663685,2.4128484918134827,2.1571768927035158,1.0,2024-08-04,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,1.9252192874526222,1.0,0.855067254669257
BTC-USD,-0.16446790962058522,-0.1706018108752123,-0.23694713112640864,0.43760955244552485,0.021299492331386727,-0.38984937582332463,-0.5063464347422909,-0.4467543582863281,-0.5399892954089562,-0.47729954159999644,-0.14568271733882415,-0.4533216335700296,0.25,2024-08-05,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.40457672030538555,0.25,0.8672282987057383
DIA,-0.05307350115878995,-0.055327222955231514,-0.003777680923834681,0.14716699033887842,0.018133458502197275,-0.3759485930087355,-0.29095626480709696,-0.28739657234579347,-0.23910060882218337,-0.44752918964788335,-0.1773906525236582,-0.2994752496115366,0.625,2024-08-05,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.267273179411931,0.625,0.8672282987057383
ETH-USD,-0.2519389875037277,-0.29804069315957293,-0.36582996089374953,0.5517966664015205,-0.02932860828724948,-0.5401277523171925,-0.6754788947088637,-0.6229282964457898,-0.7063034730964316,-0.7991404205409456,-0.6527248462468263,-0.6883355312276678,0.125,2024-08-05,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.6143199685852507,0.125,0.8672282987057383
GLD,-0.01796516119794067,-0.025450075471821876,0.013899663462434209,0.13327881157467175,0.01808607606454049,-0.19095364950461785,-0.2230714273656969,-0.24609383460380313,-0.21628924596952184,-0.0513382232154907,-0.17786518922894204,-0.18975444861417706,0.75,2024-08-05,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.1693504717149596,0.75,0.8672282987057383
QQQ,-0.0757849201251296,-0.1228391307369967,-0.058933407640375135,0.2574448787187573,-0.026036084555513983,-0.4771473076036245,-0.334870644874989,-0.38072631954204306,-0.31027517373650093,-0.6642595271242292,-0.6197501104376626,-0.43807397605352294,0.375,2024-08-05,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.3909686177716796,0.375,0.8672282987057383
SPY,-0.060692485350710035,-0.0840561707594264,-0.02919772514264629,0.17792962033234472,-0.004465971705360117,-0.4724124662460506,-0.30568819186243074,-0.3271120169818279,-0.27190337827303096,-0.6541192425422373,-0.40372470544148986,-0.3848482381742372,0.5,2024-08-05,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.3434661540188462,0.5,0.8672282987057383
TLT,0.045558021304277885,0.05266395539062252,0.06688825417957722,0.13793337724181715,0.011087976644009512,0.3818071915856522,-0.10024417541552584,-0.13810751052541467,-0.14791121681041194,1.175304337212834,-0.24795139007665354,0.1192023968320895,0.875,2024-08-05,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.10638476346930786,0.875,0.8672282987057383
VIX,1.3575793554933968,1.924185058518658,2.065977736783764,2.640300005813851,0.2779908256569579,0.7287751597476301,2.4366560337768934,2.449118908731,2.431772392117037,1.9183818074579486,2.425089611294057,2.334606680419082,1.0,2024-08-05,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,2.0835703483387453,1.0,0.8672282987057383
BTC-USD,-0.14264902411735458,-0.1260859131649622,-0.19192058316436367,0.467097098235277,0.01848897897557822,-0.26993512407018355,-0.6623551220923348,-0.45231805852557916,-0.5919953604190498,-0.2771804203415279,-0.1595112648961298,-0.45795272461786923,0.25,2024-08-06,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.4087098379173011,0.25,0.8629559578479943
DIA,-0.032909212279095934,-0.05288230117065029,0.006506583403478539,0.14939652367367035,0.01527303911177147,-0.35397276904623365,-0.1491035218318337,-0.2514860981068289,-0.18750736128763057,-0.5741147918524756,-0.18901303248636114,-0.27649226767507273,0.625,2024-08-06,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.24676151889075704,0.625,0.8629559578479943
ETH-USD,-0.23202424534880106,-0.2744457084233588,-0.33161953096249486,0.5649589946062757,-0.03741793025966722,-0.4857798725987576,-1.0803618103877841,-0.8593388013187541,-0.8767675962626287,-1.039835356311428,-0.6723792639245724,-0.9244325193804517,0.125,2024-08-06,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.8250298444598969,0.125,0.8629559578479943
GLD,-0.022456514276804507,-0.028737397799921904,0.04300562657013751,0.13493358873485564,0.01589119124956695,-0.2129743829491622,-0.10021639612195105,-0.18524526454739398,-0.11310512496055194,-0.07591821373889794,-0.183342347872545,-0.13175576111575288,0.75,2024-08-06,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.11758828559263207,0.75,0.8629559578479943
QQQ,-0.04379334439917337,-0.08767671952249001,-0.04910007519921389,0.24832997128944934,-0.02969327726239368,-0.3530653954785645,-0.200008459014612,-0.34694356337197296,-0.3008599151018629,-0.5709087239037811,-0.6015163351722322,-0.3785901221328663,0.375,2024-08-06,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.3378809626760704,0.375,0.8629559578479943
SPY,-0.038415371313030744,-0.06246605346002376,-0.019054774713599176,0.1802336301211546,-0.0073436241532706115,-0.3465837836037234,-0.17485575238623868,-0.27777884115606694,-0.23961344524122788,-0.5480069237762032,-0.3964894069114674,-0.31547781731870084,0.5,2024-08-06,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,-0.28155501791242965,0.5,0.8629559578479943
TLT,0.013429786580141378,0.028898746493337457,0.06251601480725344,0.1639617644015784,0.01151628633297519,0.1762529611632995,0.06762334256289286,-0.027122194741867736,-0.07333376685062287,1.299358030994601,-0.22347600507528628,0.22824526241128526,0.875,2024-08-06,0.1505663817879007,0.1505663817879007,0.6988672364241985,2,0.20370243300408183,0.875,0.8629559578479943
